epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5938,1.85108,3.75602,1.27348,0.0062,0.81189,0.02124,0.00948,1.35573,3.62155,0.99204,0.00023338,0.00023338,0.00023338
2,77.7426,1.69743,2.16102,1.10067,0.00655,0.88001,0.20197,0.12677,1.32735,3.12075,1.00112,0.0004595,0.0004595,0.0004595
3,112.391,1.6403,1.8454,1.08296,0.00714,0.79282,0.31634,0.1834,1.35832,2.95374,1.07746,0.000660865,0.000660865,0.000660865
4,147.485,1.55888,1.66366,1.0821,0.60115,0.1489,0.45454,0.24323,1.46661,2.42093,1.08952,0.000837476,0.000837476,0.000837476
5,181.466,1.58176,1.58315,1.08113,0.60655,0.13679,0.47691,0.25427,1.47614,2.41209,1.06781,0.000989331,0.000989331,0.000989331
6,216.619,1.52283,1.48677,1.08792,0.54305,0.34588,0.49027,0.26633,1.49044,2.16467,1.07348,0.00111643,0.00111643,0.00111643
7,249.63,1.46159,1.40102,1.05214,0.65136,0.42563,0.58538,0.30278,1.47602,1.95159,1.09538,0.0011719,0.0011719,0.0011719
8,283.543,1.48004,1.34906,1.05066,0.64375,0.58712,0.63974,0.34628,1.53261,1.68801,1.13955,0.00108938,0.00108938,0.00108938
9,318.286,1.51907,1.35184,1.04887,0.67804,0.5764,0.65131,0.33002,1.55542,1.70614,1.12296,0.00100687,0.00100687,0.00100687
10,353.065,1.50432,1.32723,1.06855,0.61525,0.5842,0.65578,0.36826,1.41405,1.56063,1.07004,0.000924352,0.000924352,0.000924352
11,387.043,1.42447,1.3416,1.07078,0.73637,0.59174,0.69842,0.40863,1.38222,1.48248,1.05819,0.000841835,0.000841835,0.000841835
12,418.951,1.35489,1.22895,1.0353,0.75094,0.64836,0.70716,0.38333,1.41821,1.23435,1.07239,0.000759318,0.000759318,0.000759318
13,453.676,1.34131,1.18291,1.01917,0.73155,0.6607,0.72794,0.39866,1.41946,1.21319,1.07626,0.000676802,0.000676802,0.000676802
14,487.469,1.33558,1.1356,1.02775,0.65186,0.70965,0.73219,0.4023,1.40738,1.18836,1.09963,0.000594286,0.000594286,0.000594286
15,524.006,1.34196,1.14637,1.02542,0.68929,0.67487,0.72213,0.39019,1.42335,1.18726,1.08916,0.000511769,0.000511769,0.000511769
16,567.325,1.29439,1.06333,1.01596,0.67745,0.70527,0.73921,0.41395,1.36672,1.14287,1.06729,0.000429253,0.000429253,0.000429253
17,602.022,1.29773,1.02255,1.01437,0.64127,0.69356,0.72744,0.39974,1.3993,1.1639,1.06577,0.000346736,0.000346736,0.000346736
18,644.751,1.29872,1.06096,0.99932,0.67106,0.70018,0.72722,0.39291,1.42506,1.16609,1.07009,0.00026422,0.00026422,0.00026422
19,683.674,1.25715,0.96924,0.99747,0.69089,0.70948,0.73637,0.41608,1.39203,1.08809,1.06035,0.000181703,0.000181703,0.000181703
20,724.217,1.26082,0.99959,0.98835,0.7242,0.7133,0.74132,0.41748,1.37306,1.06472,1.05706,9.91865e-05,9.91865e-05,9.91865e-05
