epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.27,1.69516,4.22133,1.65075,0,0,0,0,0,44.0702,0,5.336e-05,5.336e-05,5.336e-05
2,44.1288,1.37877,3.97108,1.42253,0,0,0,0,0,44.0327,0,0.000107777,0.000107777,0.000107777
3,68.0032,1.27609,3.64404,1.33851,0,0,0,0,0,44.152,0,0.000156251,0.000156251,0.000156251
4,88.0462,1.21566,3.35562,1.28822,0,0,0,0,0,44.9455,0,0.000198783,0.000198783,0.000198783
5,107.012,1.17228,3.00453,1.25912,0,0,0,0,0,48.8612,0,0.000235371,0.000235371,0.000235371
6,125.731,1.14408,2.79375,1.23276,0,0,0,0,0,54.7629,0,0.000266016,0.000266016,0.000266016
7,146.02,1.13564,2.62567,1.2526,0,0,0,0,0,69.9432,0,0.000290719,0.000290719,0.000290719
8,164.524,1.13245,2.43964,1.2566,0,0,0,0,0,88.7672,0,0.000309478,0.000309478,0.000309478
9,184.001,1.11039,2.28212,1.2604,0,0,0,0,0,114.419,0,0.000322294,0.000322294,0.000322294
10,203.182,1.13816,2.10709,1.26776,0,0,0,0,0,195.909,0,0.000329168,0.000329168,0.000329168
11,221.931,1.1741,1.74701,1.27507,0,0,0,0,0,462.047,0,0.000330098,0.000330098,0.000330098
12,239.714,1.14053,1.57259,1.27613,0,0,0,0,0,1314.01,0,0.000303818,0.000303818,0.000303818
13,257.844,1.09561,1.42761,1.28941,0,0,0,0,0,1551.54,0,0.000270802,0.000270802,0.000270802
14,275.973,1.09329,1.37799,1.26325,0,0,0,0,0,1637.48,0,0.000237785,0.000237785,0.000237785
15,293.268,1.0774,1.32447,1.27272,0,0,0,0,0,1464.99,0,0.000204769,0.000204769,0.000204769
16,311.808,1.0452,1.26293,1.25312,0,0,0,0,0,1181.64,0,0.000171752,0.000171752,0.000171752
17,329.684,1.01303,1.22021,1.24683,0,0,0,0,0,1175.31,0,0.000138736,0.000138736,0.000138736
18,346.85,0.99626,1.17609,1.21974,0,0,0,0,0,1080.89,0,0.00010572,0.00010572,0.00010572
19,365.069,1.00779,1.18914,1.22134,0,0,0,0,0,1064.44,0,7.2703e-05,7.2703e-05,7.2703e-05
20,383.447,0.99902,1.17551,1.21348,0,0,0,0,0,1035.65,0,3.96865e-05,3.96865e-05,3.96865e-05
