epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.8495,1.69656,2.68474,1.2898,0.00357,0.91304,0.09611,0.03818,1.49727,2.97532,1.06916,0.000649123,0.000649123,0.000649123
2,97.9343,1.66508,1.61078,1.17485,0.74149,0.33259,0.5822,0.25898,1.80569,2.36175,1.19444,0.00125066,0.00125066,0.00125066
3,141.022,1.64198,1.50094,1.20148,0.37606,0.53623,0.39897,0.19006,1.64769,1.9793,1.30149,0.00178619,0.00178619,0.00178619
4,179.977,1.66073,1.43642,1.23698,0.6889,0.55072,0.57405,0.24253,1.79031,2.01674,1.41377,0.001703,0.001703,0.001703
5,217.794,1.6715,1.45902,1.19949,0.81246,0.62319,0.74978,0.39852,1.67793,1.70506,1.23742,0.001604,0.001604,0.001604
6,254.261,1.58051,1.36279,1.21889,0.84006,0.69565,0.7744,0.36857,1.75351,1.50303,1.44469,0.001505,0.001505,0.001505
7,295.381,1.58112,1.29982,1.2177,0.70592,0.76537,0.75139,0.33587,1.6434,1.42251,1.32439,0.001406,0.001406,0.001406
8,334.447,1.47739,1.18923,1.17318,0.80056,0.81447,0.83088,0.43446,1.50166,1.32755,1.27193,0.001307,0.001307,0.001307
9,382.261,1.52277,1.14674,1.20697,0.85475,0.76812,0.83983,0.46384,1.50522,1.1514,1.2386,0.001208,0.001208,0.001208
10,426.171,1.49394,1.11441,1.17788,0.82185,0.75362,0.75959,0.41353,1.50417,1.08179,1.19393,0.001109,0.001109,0.001109
11,473.03,1.43429,1.15669,1.15497,0.74877,0.82609,0.78588,0.43095,1.42738,1.13154,1.16212,0.00101,0.00101,0.00101
12,515.63,1.39729,1.06986,1.12475,0.87957,0.74097,0.80754,0.43715,1.38053,1.0811,1.1386,0.000911,0.000911,0.000911
13,554.76,1.41565,1.0787,1.10314,0.88423,0.81159,0.86224,0.44904,1.38898,1.0928,1.1605,0.000812,0.000812,0.000812
14,596.995,1.37669,1.02917,1.13192,0.87909,0.78261,0.83658,0.45546,1.53452,1.10032,1.19888,0.000713,0.000713,0.000713
15,637.234,1.37742,0.9835,1.1357,0.93293,0.73913,0.8451,0.45342,1.42053,1.06289,1.19787,0.000614,0.000614,0.000614
16,683.488,1.29113,0.95575,1.11074,0.86767,0.82609,0.85942,0.46744,1.40015,1.08428,1.18701,0.000515,0.000515,0.000515
17,721.996,1.30496,0.91333,1.09283,0.89692,0.75666,0.83371,0.4326,1.40703,0.94216,1.14565,0.000416,0.000416,0.000416
18,760.391,1.30286,0.93719,1.10645,0.93368,0.78261,0.86356,0.47411,1.43159,0.98399,1.14964,0.000317,0.000317,0.000317
19,800.987,1.27656,0.88931,1.08344,0.98147,0.76755,0.88515,0.48741,1.40645,0.96461,1.13945,0.000218,0.000218,0.000218
20,840.731,1.21857,0.86354,1.04413,0.9636,0.76736,0.85332,0.48464,1.33498,0.92798,1.10249,0.000119,0.000119,0.000119
