epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.1889,1.50475,4.20462,1.23539,0.00265,0.32014,0.06582,0.0277,1.35447,4.18228,1.06895,9.228e-05,9.228e-05,9.228e-05
2,77.0214,1.45364,3.64992,1.14036,0.00358,0.36859,0.1226,0.06869,1.30077,4.05161,1.04868,0.000182734,0.000182734,0.000182734
3,110.266,1.4598,2.97666,1.12213,0.9645,0.03382,0.16622,0.10464,1.37199,3.74234,1.08068,0.00026329,0.00026329,0.00026329
4,152.915,1.39336,2.41548,1.08131,0.72123,0.11439,0.14848,0.09187,1.3559,3.52451,1.1188,0.00033395,0.00033395,0.00033395
5,190.046,1.4012,2.18751,1.11297,0.81901,0.10656,0.22474,0.12115,1.40598,3.21884,1.18875,0.000394712,0.000394712,0.000394712
6,223.054,1.39609,2.20535,1.08122,0.47255,0.16645,0.2599,0.16266,1.42671,2.97853,1.16596,0.000445578,0.000445578,0.000445578
7,256.446,1.34167,1.88499,1.05927,0.38694,0.26905,0.28483,0.16845,1.44701,2.68116,1.18373,0.000486546,0.000486546,0.000486546
8,291.952,1.39772,1.75628,1.05977,0.39639,0.35694,0.35117,0.22899,1.41658,2.26643,1.17516,0.000502541,0.000502541,0.000502541
9,323.808,1.31121,1.68332,1.03361,0.42523,0.36163,0.3438,0.22613,1.38957,2.15245,1.15347,0.000464476,0.000464476,0.000464476
10,358.409,1.28281,1.66939,1.0386,0.45391,0.39084,0.3721,0.23785,1.39147,2.10371,1.1591,0.000426411,0.000426411,0.000426411
11,389.345,1.27683,1.56147,1.04045,0.48362,0.38847,0.40127,0.25558,1.40499,2.08412,1.14868,0.000388345,0.000388345,0.000388345
12,418.567,1.25222,1.4512,1.02242,0.57267,0.43529,0.4412,0.28862,1.32843,1.73068,1.14446,0.00035028,0.00035028,0.00035028
13,448.936,1.21051,1.37059,1.0012,0.57554,0.47117,0.46227,0.29891,1.29489,1.60917,1.13356,0.000312214,0.000312214,0.000312214
14,477.441,1.18038,1.35529,0.99189,0.62111,0.49997,0.4755,0.30565,1.25791,1.53318,1.10395,0.000274148,0.000274148,0.000274148
15,510.464,1.1723,1.29493,1.00092,0.67907,0.49059,0.49032,0.31542,1.20557,1.52246,1.09011,0.000236083,0.000236083,0.000236083
16,542.749,1.16654,1.27485,0.98677,0.6688,0.51502,0.5136,0.31842,1.22045,1.51397,1.09517,0.000198018,0.000198018,0.000198018
17,571.819,1.16402,1.23161,0.98658,0.65099,0.52544,0.5063,0.3131,1.25545,1.49209,1.10326,0.000159952,0.000159952,0.000159952
18,603.496,1.14205,1.20672,0.98181,0.65797,0.52353,0.50693,0.32141,1.21877,1.44551,1.09674,0.000121887,0.000121887,0.000121887
19,634.455,1.10811,1.24704,0.97451,0.66042,0.5307,0.51618,0.33542,1.186,1.39975,1.09406,8.3821e-05,8.3821e-05,8.3821e-05
20,662.527,1.1199,1.19218,0.96126,0.66429,0.53565,0.52988,0.34217,1.18126,1.37265,1.09222,4.57555e-05,4.57555e-05,4.57555e-05
