id,plate_number,violation_type,location,image_path,detection_time,video_timestamp_ms
1,UNKNOWN,White Line Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\vehicle_image.jpg,2025-10-30 00:24:41,
2,UNKNOWN,Red Light Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\vehicle_image.jpg,2025-10-30 00:24:41,
3,Unknown,White Line Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\annot_326_jpg.rf.5b7e0f57b1b0ab22e23bd46928e09027.jpg,2025-10-30 00:24:41,
4,Unknown,Red Light Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\annot_326_jpg.rf.5b7e0f57b1b0ab22e23bd46928e09027.jpg,2025-10-30 00:24:41,
5,UNKNOWN,Lane Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\vehicle_image.jpg,2025-10-30 00:24:49,
6,UNKNOWN,White Line Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\vehicle_image.jpg,2025-10-30 00:24:49,
7,UNKNOWN,Red Light Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\vehicle_image.jpg,2025-10-30 00:24:49,
8,1,Lane Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\annot_326_jpg.rf.5b7e0f57b1b0ab22e23bd46928e09027.jpg,2025-10-30 00:24:49,
9,1,White Line Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\annot_326_jpg.rf.5b7e0f57b1b0ab22e23bd46928e09027.jpg,2025-10-30 00:24:49,
10,1,Red Light Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\annot_326_jpg.rf.5b7e0f57b1b0ab22e23bd46928e09027.jpg,2025-10-30 00:24:49,
11,UNKNOWN,White Line Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\vehicle_image.jpg,2025-10-30 00:24:57,
12,UNKNOWN,Red Light Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\vehicle_image.jpg,2025-10-30 00:24:57,
13,1,White Line Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\annot_326_jpg.rf.5b7e0f57b1b0ab22e23bd46928e09027.jpg,2025-10-30 00:24:58,
14,1,Red Light Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\annot_326_jpg.rf.5b7e0f57b1b0ab22e23bd46928e09027.jpg,2025-10-30 00:24:58,
15,UNKNOWN,Lane Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\vehicle_image.jpg,2025-10-30 00:25:04,
16,UNKNOWN,White Line Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\vehicle_image.jpg,2025-10-30 00:25:04,
17,UNKNOWN,Red Light Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\vehicle_image.jpg,2025-10-30 00:25:04,
18,Unknown,Lane Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\annot_326_jpg.rf.5b7e0f57b1b0ab22e23bd46928e09027.jpg,2025-10-30 00:25:04,
19,Unknown,White Line Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\annot_326_jpg.rf.5b7e0f57b1b0ab22e23bd46928e09027.jpg,2025-10-30 00:25:04,
20,Unknown,Red Light Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\annot_326_jpg.rf.5b7e0f57b1b0ab22e23bd46928e09027.jpg,2025-10-30 00:25:05,
21,UNKNOWN,White Line Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\vehicle_image.jpg,2025-10-30 00:25:10,
22,UNKNOWN,Red Light Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\vehicle_image.jpg,2025-10-30 00:25:10,
23,Unknown,White Line Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\annot_326_jpg.rf.5b7e0f57b1b0ab22e23bd46928e09027.jpg,2025-10-30 00:25:10,
24,Unknown,Red Light Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\annot_326_jpg.rf.5b7e0f57b1b0ab22e23bd46928e09027.jpg,2025-10-30 00:25:10,
25,UNKNOWN,White Line Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\vehicle_image.jpg,2025-10-30 00:25:14,
26,UNKNOWN,Red Light Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\vehicle_image.jpg,2025-10-30 00:25:14,
27,Unknown,White Line Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\annot_326_jpg.rf.5b7e0f57b1b0ab22e23bd46928e09027.jpg,2025-10-30 00:25:14,
28,Unknown,Red Light Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\annot_326_jpg.rf.5b7e0f57b1b0ab22e23bd46928e09027.jpg,2025-10-30 00:25:14,
29,UNKNOWN,White Line Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\vehicle_image.jpg,2025-10-30 00:25:19,
30,UNKNOWN,Red Light Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\vehicle_image.jpg,2025-10-30 00:25:19,
31,Unknown,White Line Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\annot_326_jpg.rf.5b7e0f57b1b0ab22e23bd46928e09027.jpg,2025-10-30 00:25:19,
32,Unknown,Red Light Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\annot_326_jpg.rf.5b7e0f57b1b0ab22e23bd46928e09027.jpg,2025-10-30 00:25:19,
33,UNKNOWN,Lane Violation,Test Location,F:\1. BE CSE AIML\SEM 7\CAPSTONE PROJECT\Intelligent_Traffic_Violation_detection_and_Explanation_System\Code\ocr_results\vehicle_image.jpg,2025-10-30 00:25:24,
