id,vehicle_number,date,time,violation,location,video_name,confidence,traffic_light_color,violation_type,image_path,ocr_text,plate_number
2,,,,red_light_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\numberplate_yolo_ocr\images\test\dc_license_plates_VTPRN3NAPF8MUGNF.jpg,[],
3,,,,lane_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\numberplate_yolo_ocr\images\test\dc_license_plates_VTPRN3NAPF8MUGNF.jpg,[],
4,,,,red_light_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\numberplate_yolo_ocr\images\test\dc_license_plates_VZUYOAPZ8633ZQTN.jpg,[],
5,,,,red_light_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\numberplate_yolo_ocr\images\test\dc_license_plates_VTPRN3NAPF8MUGNF.jpg,[],
6,,,,lane_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\numberplate_yolo_ocr\images\test\dc_license_plates_VTPRN3NAPF8MUGNF.jpg,[],
7,,,,red_light_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\numberplate_yolo_ocr\images\test\dc_license_plates_VZUYOAPZ8633ZQTN.jpg,[],
8,,,,red_light_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\numberplate_yolo_ocr\images\test\dc_license_plates_VTPRN3NAPF8MUGNF.jpg,[],
9,,,,lane_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\numberplate_yolo_ocr\images\test\dc_license_plates_VTPRN3NAPF8MUGNF.jpg,[],
10,,,,red_light_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\numberplate_yolo_ocr\images\test\dc_license_plates_VZUYOAPZ8633ZQTN.jpg,[],
11,,,,red_light_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-008_jpg.rf.380de0c1af09f4e300f8c2487088ea9a.jpg,[],
12,,,,lane_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-008_jpg.rf.380de0c1af09f4e300f8c2487088ea9a.jpg,[],
13,,,,lane_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-020_jpg.rf.afbb8bc614daa1b232681a42aa4fd6d1.jpg,[],
14,,,,red_light_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-031_jpg.rf.bba22250465a854f5b373fe4a5a11e34.jpg,[],
15,,,,lane_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-031_jpg.rf.bba22250465a854f5b373fe4a5a11e34.jpg,[],
16,,,,red_light_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-033_jpg.rf.7fe939b6a94be0a258c7500aa65439ea.jpg,[],
17,,,,lane_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-033_jpg.rf.7fe939b6a94be0a258c7500aa65439ea.jpg,[],
18,,,,lane_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-038_jpg.rf.f0aa9b6202b50e315a3865f4c67a62df.jpg,[],
19,,,,lane_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-043_jpg.rf.316cbab3d624fc6db99c304eee9fc8e7.jpg,[],
20,,,,red_light_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-043_jpg.rf.a582e57284d26c7272876479ad44f1a5.jpg,[],
21,,,,lane_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-043_jpg.rf.a582e57284d26c7272876479ad44f1a5.jpg,[],
22,,,,red_light_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-052_jpg.rf.5c81e5ad4a500cd756d2e7980717b630.jpg,[],
23,,,,lane_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-052_jpg.rf.5c81e5ad4a500cd756d2e7980717b630.jpg,[],
24,,,,lane_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-054_jpg.rf.e248cf088f8d5ae602a47354fa53d309.jpg,[],
25,,,,red_light_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-057_jpg.rf.2dd39c2564c8b6de1a1fc70ea17fad81.jpg,[],
26,,,,lane_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-057_jpg.rf.2dd39c2564c8b6de1a1fc70ea17fad81.jpg,[],
27,,,,helmet_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-057_jpg.rf.2dd39c2564c8b6de1a1fc70ea17fad81.jpg,[],
28,,,,red_light_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-059_jpg.rf.7116ee8660a1c79f9748430a4014f4ec.jpg,[],
29,,,,lane_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-059_jpg.rf.7116ee8660a1c79f9748430a4014f4ec.jpg,[],
30,,,,red_light_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-068_jpg.rf.533686d5bd73082dc5097f8112ea310e.jpg,[],
31,,,,lane_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-068_jpg.rf.533686d5bd73082dc5097f8112ea310e.jpg,[],
32,,,,red_light_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-077_jpg.rf.0b94db8f83098130e4e5da9582f0d267.jpg,[],
33,,,,lane_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-077_jpg.rf.0b94db8f83098130e4e5da9582f0d267.jpg,[],
34,,,,red_light_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-086_jpg.rf.3c39df845a8061d1fa2eb18e08277a7e.jpg,[],
35,,,,lane_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-086_jpg.rf.3c39df845a8061d1fa2eb18e08277a7e.jpg,[],
36,,,,red_light_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-087_jpg.rf.3dbb5fa9dea78400aa4d071a326f9125.jpg,[],
37,,,,lane_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-087_jpg.rf.3dbb5fa9dea78400aa4d071a326f9125.jpg,[],
38,,,,red_light_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-100_jpg.rf.eef865292f2c487201836efdfe44b56f.jpg,[],
39,,,,lane_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-100_jpg.rf.eef865292f2c487201836efdfe44b56f.jpg,[],
40,,,,red_light_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-117_jpg.rf.83269e2379f36f48b5fe30cc4980ffd9.jpg,[],
41,,,,lane_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-117_jpg.rf.83269e2379f36f48b5fe30cc4980ffd9.jpg,[],
42,,,,red_light_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-133_jpg.rf.141bdb110847089a06b4033dd1805da3.jpg,[],
43,,,,lane_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-133_jpg.rf.141bdb110847089a06b4033dd1805da3.jpg,[],
44,,,,red_light_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-147_jpg.rf.d04a6259dc5abd789ca3917ec68d10ac.jpg,[],
45,,,,lane_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\lane_dataset_yolo\test\images\ezgif-frame-147_jpg.rf.d04a6259dc5abd789ca3917ec68d10ac.jpg,[],
46,,,,red_light_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\subset_datasets\helmet\test\images\BikesHelmets1.png,[],
47,,,,lane_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\subset_datasets\helmet\test\images\BikesHelmets1.png,[],
48,,,,helmet_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\subset_datasets\helmet\test\images\BikesHelmets1.png,[],
49,,,,red_light_violation,,,,,,C:\Users\sav13\OneDrive\Desktop\project\subset_datasets\helmet\test\images\BikesHelmets101.png,[],
